Creditability,Account_Balance,Duration_of_Credit,Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,employment,Instalment_percent,Sex_MaritalStatus,Guarantors,Duration_address,asset,Age,Concurrent_Credits,Type_apartment,No_of_Credits,Occupation,dependents,Telephone,Foreign_Worker
good,4,39,existing paid,new car,8588,2,5,4,male: married / widowed,none,2,3,45,3,rented flat,1,4,1,no,yes
good,1,30,existing paid,new car,3857,1,3,4,male: divorced / living apart,none,4,2,40,3,rented flat,1,4,1,no,yes
bad,2,12,existing paid,other,685,1,4,2,female:,none,3,3,25,1,rented flat,1,2,1,yes,yes
good,1,24,existing paid,items of furniture,1603,1,5,4,male: single,none,4,3,55,3,rented flat,1,3,1,yes,yes
good,4,21,existing paid,used car,2241,1,5,4,male: married / widowed,none,2,1,50,3,rented flat,2,3,1,yes,yes
good,1,24,existing paid,items of furniture,2384,1,5,4,male: married / widowed,none,4,1,64,1,free apartment,1,2,1,yes,yes
good,4,4,existing paid,used car,601,1,2,1,male: single,none,3,1,23,3,free apartment,1,2,2,yes,yes
good,4,39,existing paid,new car,2569,3,3,4,male: married / widowed,none,4,3,24,3,rented flat,1,3,1,yes,yes
good,4,15,critical/other existing credit,items of furniture,1316,3,3,2,female:,none,2,2,47,3,rented flat,2,2,1,yes,yes
good,4,60,existing paid,other,10366,1,5,2,male: married / widowed,none,4,2,42,3,rented flat,1,4,1,no,yes
good,4,18,existing paid,retraining,1568,2,3,3,male: single,none,4,2,24,3,free apartment,1,2,1,yes,yes
good,4,18,critical/other existing credit,items of furniture,629,3,5,4,male: married / widowed,none,3,2,32,1,rented flat,2,4,1,no,yes
good,4,6,all paid,items of furniture,1750,3,5,2,male: married / widowed,none,4,2,45,1,rented flat,1,2,2,yes,yes
good,4,24,existing paid,new car,3488,2,4,3,male: single,none,4,3,23,3,rented flat,1,3,1,yes,yes
good,4,18,critical/other existing credit,items of furniture,1800,1,3,4,male: married / widowed,none,2,3,24,3,rented flat,2,3,1,yes,yes
good,4,24,delayed previously,used car,4151,2,3,2,male: married / widowed,none,3,2,35,3,rented flat,2,3,1,yes,yes
good,2,15,existing paid,household appliances,2631,2,3,3,male: single,none,2,1,25,3,rented flat,1,2,1,yes,yes
good,4,21,existing paid,new car,5248,5,3,1,male: married / widowed,none,3,3,26,3,rented flat,1,3,1,yes,yes
good,2,18,delayed previously,other,2899,5,5,4,male: married / widowed,none,4,3,43,3,rented flat,1,3,2,yes,yes
good,2,18,delayed previously,household appliances,6204,1,3,2,male: married / widowed,none,4,1,44,3,rented flat,1,2,2,no,yes
good,4,12,existing paid,items of furniture,804,1,5,4,male: married / widowed,none,4,3,38,3,rented flat,1,3,1,yes,yes
good,4,36,existing paid,items of furniture,3595,1,5,4,male: married / widowed,none,2,3,28,3,rented flat,1,3,1,yes,yes
good,4,36,critical/other existing credit,new car,5711,4,5,4,male: married / widowed,none,2,3,38,3,rented flat,2,4,1,no,yes
good,3,15,existing paid,retraining,2687,1,4,2,male: married / widowed,none,4,2,26,3,free apartment,1,3,1,no,yes
good,1,15,delayed previously,used car,3643,1,5,1,male: single,none,4,2,27,3,rented flat,2,2,1,yes,yes
good,4,10,critical/other existing credit,used car,2146,1,2,1,male: single,none,3,1,23,3,free apartment,2,3,1,yes,yes
good,1,10,existing paid,items of furniture,2315,1,5,3,male: married / widowed,none,4,1,52,3,rented flat,1,2,1,yes,yes
good,4,5,existing paid,retraining,3448,1,4,1,male: married / widowed,none,4,1,74,3,rented flat,1,2,1,yes,yes
good,4,15,existing paid,used car,2708,1,2,2,male: married / widowed,none,3,2,27,1,rented flat,2,2,1,yes,yes
good,4,11,critical/other existing credit,other,1393,1,2,4,male: single,none,4,3,35,3,rented flat,2,4,1,yes,yes
good,3,10,existing paid,used car,1275,1,2,4,male: single,none,2,2,23,3,rented flat,1,3,1,yes,yes
good,4,9,existing paid,used car,1313,1,5,1,male: married / widowed,none,4,3,20,3,rented flat,1,3,1,yes,yes
good,4,12,existing paid,items of furniture,1493,1,2,4,male: single,none,3,3,34,3,rented flat,1,3,2,yes,yes
good,4,22,existing paid,items of furniture,2675,3,5,3,male: married / widowed,none,4,3,40,3,rented flat,1,3,1,yes,yes
good,2,9,existing paid,items of furniture,2118,1,3,2,male: married / widowed,none,2,1,37,3,rented flat,1,2,2,yes,yes
good,4,36,existing paid,other,909,3,5,4,male: married / widowed,none,4,2,36,3,rented flat,1,3,1,yes,yes
good,4,12,critical/other existing credit,used car,1258,1,2,2,male: single,none,4,2,22,3,free apartment,2,2,1,yes,yes
good,4,15,all paid,items of furniture,1569,2,5,4,male: married / widowed,none,4,3,34,1,rented flat,1,2,2,yes,yes
good,4,6,existing paid,new car,1236,3,3,2,male: married / widowed,none,4,2,50,3,free apartment,1,3,1,yes,yes
good,4,36,delayed previously,used car,7678,3,4,2,male: single,none,4,3,40,3,rented flat,2,3,1,no,yes
good,4,6,existing paid,household appliances,660,3,4,2,female:,none,4,1,23,3,free apartment,1,2,1,yes,yes
good,4,24,existing paid,used car,2835,3,5,3,male: married / widowed,none,4,2,53,3,rented flat,1,3,1,yes,yes
good,4,24,existing paid,new car,2670,1,5,4,male: married / widowed,none,4,3,35,3,rented flat,1,4,1,no,yes
good,4,12,all paid,vacation,3447,3,3,4,male: single,none,3,1,35,3,rented flat,1,2,2,yes,yes
good,4,15,existing paid,items of furniture,3568,1,5,4,male: single,none,2,3,54,1,free apartment,1,4,1,no,yes
good,2,21,critical/other existing credit,retraining,3652,1,4,2,male: married / widowed,none,3,2,27,3,rented flat,2,3,1,yes,yes
good,1,24,existing paid,items of furniture,3660,1,3,2,male: single,none,4,3,28,3,rented flat,1,3,1,yes,yes
good,3,9,existing paid,items of furniture,1126,2,5,2,male: divorced / living apart,none,4,1,49,3,rented flat,1,3,1,yes,yes
good,3,6,delayed previously,items of furniture,683,1,2,2,male: single,none,1,2,29,1,rented flat,1,3,1,yes,yes
good,3,12,existing paid,used car,2251,1,3,1,male: single,none,2,3,46,3,rented flat,1,2,1,yes,yes
good,4,12,existing paid,new car,4675,5,2,1,male: single,none,4,3,20,3,free apartment,1,3,1,yes,yes
good,2,21,delayed previously,other,2353,1,3,1,male: divorced / living apart,none,4,2,47,3,rented flat,2,3,1,yes,yes
good,1,21,existing paid,items of furniture,3357,4,2,4,male: single,none,2,3,29,1,rented flat,1,3,1,yes,yes
good,4,6,existing paid,other,672,1,1,1,male: single,none,4,1,54,3,rented flat,1,1,1,no,yes
good,1,6,critical/other existing credit,items of furniture,338,3,5,4,male: married / widowed,none,4,3,52,3,rented flat,2,3,1,yes,yes
good,4,9,existing paid,items of furniture,2697,1,3,1,male: married / widowed,none,2,1,32,3,rented flat,1,3,2,yes,yes
good,4,9,existing paid,other,2507,3,5,2,male: married / widowed,none,4,4,51,3,owner-occupied flat,1,2,1,yes,yes
good,4,15,delayed previously,items of furniture,1478,1,3,4,female:,none,3,1,33,1,rented flat,2,3,1,yes,yes
good,4,12,critical/other existing credit,repair,3565,5,2,2,male: married / widowed,none,1,2,37,3,rented flat,2,2,2,yes,yes
good,4,15,existing paid,used car,2221,3,3,2,male: single,none,4,3,20,3,free apartment,1,3,1,yes,yes
good,4,6,critical/other existing credit,items of furniture,1898,5,3,1,male: married / widowed,none,2,1,34,3,rented flat,2,2,2,yes,yes
good,2,6,delayed previously,retraining,1449,2,5,1,male: divorced / living apart,none,2,3,31,1,rented flat,2,3,2,yes,yes
good,4,15,delayed previously,used car,960,4,4,3,male: single,none,2,2,30,3,rented flat,2,3,1,yes,yes
good,4,36,existing paid,new car,8133,1,3,1,male: single,none,2,2,30,1,rented flat,1,3,1,yes,yes
good,4,9,existing paid,used car,2301,2,2,2,male: single,none,4,2,22,3,free apartment,1,3,1,yes,yes
good,4,6,delayed previously,retraining,1743,2,3,1,male: married / widowed,none,2,1,34,3,rented flat,2,2,1,yes,yes
good,2,12,existing paid,used car,983,4,2,1,male: single,none,4,1,19,3,free apartment,1,2,1,yes,yes
good,4,18,delayed previously,items of furniture,2320,1,1,2,female:,none,3,1,34,3,rented flat,2,3,1,yes,yes
good,1,12,all paid,vacation,339,1,5,4,female:,none,1,3,45,1,rented flat,1,2,1,yes,yes
good,3,24,existing paid,items of furniture,5152,1,4,4,male: married / widowed,none,2,3,25,1,rented flat,1,3,1,yes,yes
good,3,24,existing paid,used car,3749,1,2,2,male: single,none,4,3,26,3,rented flat,1,3,1,yes,yes
good,4,9,critical/other existing credit,items of furniture,3074,5,3,1,male: married / widowed,none,2,1,33,3,rented flat,2,3,2,yes,yes
bad,3,9,existing paid,items of furniture,745,1,3,3,male: single,none,2,1,28,3,rented flat,1,2,1,yes,yes
good,4,24,existing paid,other,1469,2,5,4,female:,none,4,1,41,3,free apartment,1,2,1,yes,yes
good,1,6,existing paid,used car,1374,1,3,1,male: married / widowed,none,2,1,36,1,rented flat,1,2,1,no,yes
good,4,6,all paid,other,783,5,3,1,male: married / widowed,Guarantor  ,2,1,26,2,rented flat,1,2,2,yes,yes
good,1,21,existing paid,items of furniture,2606,1,2,4,male: single,none,4,2,28,3,free apartment,1,4,1,no,yes
good,4,54,no credits/all paid,new car,9436,5,3,2,male: married / widowed,none,2,2,39,3,rented flat,1,2,2,yes,yes
good,4,12,critical/other existing credit,items of furniture,930,5,5,4,male: married / widowed,none,4,1,65,3,rented flat,4,3,1,yes,yes
good,4,48,critical/other existing credit,new car,2751,5,5,4,male: married / widowed,none,3,3,38,3,rented flat,2,3,2,no,yes
good,4,6,critical/other existing credit,other,250,4,3,2,male: single,none,2,1,41,1,rented flat,2,2,1,yes,yes
good,2,24,existing paid,other,1201,1,2,4,male: married / widowed,none,1,2,26,3,rented flat,1,3,1,yes,yes
good,1,6,existing paid,other,662,1,2,3,male: married / widowed,none,4,1,41,3,rented flat,1,2,2,no,yes
good,4,15,existing paid,new car,1300,5,5,4,male: married / widowed,none,4,4,45,1,owner-occupied flat,1,3,2,yes,yes
good,4,24,all paid,retraining,1559,1,4,4,male: married / widowed,none,4,3,40,1,rented flat,1,3,1,no,yes
good,3,12,existing paid,items of furniture,3016,1,3,3,female:,none,1,3,24,3,rented flat,1,3,1,yes,yes
good,4,15,critical/other existing credit,items of furniture,1360,1,3,4,male: married / widowed,none,2,2,31,3,rented flat,2,3,1,yes,yes
good,4,6,no credits/all paid,other,1204,2,3,4,male: married / widowed,none,1,4,35,1,free apartment,1,3,1,yes,no
good,4,10,existing paid,other,1597,3,3,3,male: married / widowed,none,2,4,40,3,free apartment,1,2,2,yes,no
good,4,12,existing paid,items of furniture,2073,2,3,4,male: single,Co-Applicant  ,2,1,28,3,rented flat,1,3,1,yes,yes
good,4,11,existing paid,retraining,2142,4,5,1,male: divorced / living apart,none,2,1,28,3,rented flat,1,3,1,no,yes
good,1,10,critical/other existing credit,used car,2132,5,2,2,male: single,Co-Applicant  ,3,1,27,3,free apartment,2,3,1,yes,no
good,4,10,existing paid,other,1546,1,3,3,male: married / widowed,none,2,1,31,3,rented flat,1,2,2,yes,no
good,4,24,critical/other existing credit,other,1287,4,5,4,male: single,none,4,1,37,3,rented flat,2,3,1,no,yes
good,4,10,existing paid,other,1418,2,3,3,male: married / widowed,none,2,1,35,3,free apartment,1,2,1,yes,no
good,3,6,critical/other existing credit,other,1343,1,5,1,male: married / widowed,none,4,1,46,3,rented flat,2,3,2,yes,no
good,4,18,existing paid,other,2662,5,4,4,male: married / widowed,none,3,2,32,3,rented flat,1,3,1,yes,no
good,4,18,critical/other existing credit,items of furniture,6070,1,5,3,male: married / widowed,none,4,3,33,3,rented flat,2,3,1,no,yes
good,4,24,critical/other existing credit,repair,1927,5,3,3,male: single,none,2,3,33,3,rented flat,2,3,1,no,yes
good,4,18,critical/other existing credit,items of furniture,2404,1,3,2,male: single,none,2,3,26,3,rented flat,2,3,1,yes,yes
good,4,6,critical/other existing credit,items of furniture,1554,1,4,1,male: single,none,2,3,24,3,free apartment,2,3,1,no,yes
good,4,22,existing paid,other,1283,5,4,4,male: single,none,4,2,25,3,free apartment,1,3,1,yes,yes
good,4,24,delayed previously,other,717,5,5,4,female:,none,4,3,54,3,rented flat,2,3,1,no,yes
good,1,24,existing paid,used car,1747,1,2,4,male: married / widowed,Co-Applicant  ,1,2,24,3,rented flat,1,2,1,yes,no
good,1,9,critical/other existing credit,household appliances,1288,2,5,3,male: married / widowed,Guarantor  ,4,1,48,3,rented flat,2,3,2,yes,no
good,1,10,critical/other existing credit,other,1038,1,4,4,male: married / widowed,Co-Applicant  ,3,2,49,3,rented flat,2,3,1,no,yes
good,4,10,existing paid,new car,2848,2,3,1,male: married / widowed,Co-Applicant  ,2,1,32,3,rented flat,1,3,2,yes,yes
good,4,12,existing paid,new car,1413,4,4,3,male: married / widowed,none,2,2,55,3,rented flat,1,3,1,yes,no
good,4,30,critical/other existing credit,items of furniture,3077,5,5,3,male: married / widowed,none,2,3,40,3,rented flat,2,3,2,no,yes
good,1,24,all paid,new car,3632,1,3,1,male: single,Guarantor  ,4,3,22,1,free apartment,1,3,1,yes,no
good,4,18,critical/other existing credit,new car,3229,5,1,2,male: married / widowed,none,4,4,38,3,rented flat,1,4,1,no,yes
good,4,9,existing paid,other,3577,2,3,1,male: married / widowed,Guarantor  ,2,1,26,3,free apartment,1,3,2,yes,no
good,4,12,critical/other existing credit,other,682,2,4,4,male: single,none,3,3,51,3,rented flat,2,3,1,no,yes
good,4,10,existing paid,items of furniture,1924,1,3,1,male: married / widowed,none,4,2,38,3,rented flat,1,3,1,no,no
good,4,10,existing paid,repair,727,3,5,4,male: married / widowed,none,4,4,46,3,owner-occupied flat,1,3,1,no,yes
good,3,10,critical/other existing credit,other,781,1,5,4,male: married / widowed,none,4,4,63,3,owner-occupied flat,2,3,1,no,yes
good,1,12,critical/other existing credit,other,2121,1,3,4,male: married / widowed,none,2,2,30,3,rented flat,2,3,1,yes,yes
good,4,12,critical/other existing credit,repair,701,1,3,4,male: married / widowed,none,2,3,32,3,rented flat,2,3,1,yes,yes
good,4,10,critical/other existing credit,used car,2069,5,3,2,female:,none,1,3,26,3,rented flat,2,3,1,yes,no
good,4,24,existing paid,other,1525,4,4,4,male: single,none,3,3,34,3,rented flat,1,3,2,no,yes
good,4,48,critical/other existing credit,retraining,7629,5,5,4,male: divorced / living apart,none,2,3,46,1,rented flat,2,4,2,yes,yes
bad,1,12,critical/other existing credit,other,3499,1,3,3,male: single,Co-Applicant  ,2,1,29,3,rented flat,2,3,1,yes,yes
good,4,6,existing paid,items of furniture,1346,2,5,2,male: married / widowed,none,4,4,42,1,owner-occupied flat,1,3,2,no,yes
good,4,36,critical/other existing credit,new car,10477,5,5,2,male: married / widowed,none,4,4,42,3,owner-occupied flat,2,3,1,yes,yes
good,1,24,existing paid,new car,2924,1,3,3,male: married / widowed,Guarantor  ,4,4,63,1,rented flat,1,3,2,no,yes
good,4,10,critical/other existing credit,other,1231,1,5,3,male: married / widowed,none,4,1,32,3,rented flat,2,2,2,yes,no
good,3,18,existing paid,other,1961,1,5,3,male: single,none,2,3,23,3,rented flat,1,4,1,yes,yes
good,4,15,critical/other existing credit,other,5045,5,5,1,male: single,none,4,3,59,3,rented flat,1,3,1,no,yes
good,4,12,critical/other existing credit,other,1255,1,5,4,male: married / widowed,none,4,1,61,3,rented flat,2,2,1,yes,yes
good,1,12,existing paid,used car,1858,1,2,4,male: single,none,1,3,22,3,free apartment,1,3,1,yes,yes
good,4,6,critical/other existing credit,used car,1221,5,3,1,female:,none,2,2,27,3,rented flat,2,3,1,yes,yes
good,4,9,existing paid,used car,1388,1,3,4,male: single,none,2,1,26,3,free apartment,1,3,1,yes,yes
good,4,12,existing paid,items of furniture,2279,5,3,4,male: married / widowed,none,4,4,37,3,owner-occupied flat,1,3,1,no,yes
good,4,12,no credits/all paid,used car,2759,1,5,2,male: married / widowed,none,4,2,34,3,rented flat,2,3,1,yes,yes
good,3,24,existing paid,items of furniture,1258,3,3,3,male: single,none,3,3,57,3,rented flat,1,2,1,yes,yes
good,2,12,no credits/all paid,vacation,1410,1,3,2,male: married / widowed,none,2,1,31,3,rented flat,1,2,1,no,yes
good,1,15,existing paid,other,1403,1,3,2,male: single,none,4,3,28,3,free apartment,1,3,1,yes,yes
good,1,24,existing paid,used car,3021,1,3,2,male: divorced / living apart,none,2,1,24,3,free apartment,1,2,1,yes,yes
good,1,24,existing paid,retraining,6568,1,3,2,female:,none,2,3,21,2,rented flat,1,2,1,yes,yes
good,4,24,critical/other existing credit,items of furniture,2578,4,5,2,male: married / widowed,none,2,3,34,3,rented flat,1,3,1,yes,yes
good,2,24,critical/other existing credit,new car,7758,4,5,2,male: single,none,4,4,29,3,free apartment,1,3,1,yes,yes
good,1,6,existing paid,radio / television,343,1,2,4,male: single,none,1,1,27,3,rented flat,1,3,1,yes,yes
good,4,21,delayed previously,used car,1591,2,4,4,male: married / widowed,none,3,1,34,3,rented flat,2,4,1,yes,yes
good,1,27,existing paid,items of furniture,3416,1,3,3,male: married / widowed,none,2,3,27,3,rented flat,1,4,1,yes,yes
bad,1,12,no credits/all paid,household appliances,1108,1,4,4,male: married / widowed,none,3,1,28,3,rented flat,2,3,1,yes,yes
good,2,27,delayed previously,new car,5965,1,5,1,male: married / widowed,none,2,3,30,3,rented flat,2,4,1,no,yes
good,2,15,existing paid,household appliances,1514,2,3,4,male: married / widowed,Guarantor  ,2,1,22,3,rented flat,1,3,1,yes,yes
good,4,30,critical/other existing credit,items of furniture,6742,5,4,2,male: married / widowed,none,3,2,36,3,rented flat,2,3,1,yes,yes
good,1,18,existing paid,used car,3650,1,2,1,male: single,none,4,3,22,3,free apartment,1,3,1,yes,yes
good,1,21,existing paid,used car,3599,1,4,1,male: single,none,4,3,26,3,free apartment,1,2,1,yes,yes
good,4,60,critical/other existing credit,other,13756,5,5,2,male: married / widowed,none,4,4,63,1,owner-occupied flat,1,4,1,no,yes
good,2,9,existing paid,other,276,1,3,4,female:,none,4,1,22,3,free apartment,1,2,1,yes,yes
good,4,42,critical/other existing credit,used car,4041,3,3,4,male: married / widowed,none,4,1,36,3,rented flat,2,3,1,no,yes
good,2,9,existing paid,items of furniture,458,1,3,4,male: married / widowed,none,3,1,24,3,rented flat,1,3,1,yes,yes
bad,2,9,existing paid,used car,918,1,3,4,male: single,none,1,2,30,3,rented flat,1,3,1,yes,yes
good,4,24,existing paid,other,7393,1,3,1,male: married / widowed,none,4,2,43,3,rented flat,1,2,2,yes,yes
good,3,10,existing paid,radio / television,1225,1,3,2,male: married / widowed,none,2,3,37,3,rented flat,1,3,1,no,yes
good,1,24,existing paid,new car,2812,5,5,2,male: single,none,4,1,26,3,free apartment,1,3,1,yes,yes
good,4,15,existing paid,new car,3029,1,4,2,male: married / widowed,none,2,3,33,3,rented flat,1,3,1,yes,yes
good,3,12,critical/other existing credit,other,1480,3,1,2,male: married / widowed,none,4,4,66,1,owner-occupied flat,3,1,1,yes,yes
good,3,6,critical/other existing credit,repair,1047,1,3,2,male: single,none,4,2,50,3,rented flat,1,2,1,yes,yes
good,4,15,critical/other existing credit,items of furniture,1471,1,3,4,male: married / widowed,none,4,4,35,3,owner-occupied flat,2,3,1,no,yes
good,4,24,existing paid,used car,5511,2,3,4,male: married / widowed,none,1,3,25,2,rented flat,1,3,1,yes,yes
good,2,9,existing paid,items of furniture,1206,1,5,4,male: single,none,4,1,25,3,rented flat,1,3,1,yes,yes
good,2,24,delayed previously,items of furniture,6403,1,2,1,male: married / widowed,none,2,3,33,3,rented flat,1,3,1,yes,yes
good,4,12,existing paid,items of furniture,707,1,3,4,male: married / widowed,none,2,1,30,1,rented flat,2,3,1,yes,yes
good,4,12,delayed previously,new car,1503,1,3,4,female:,none,4,1,41,3,free apartment,1,3,1,yes,yes
good,2,12,existing paid,other,6078,1,4,2,male: married / widowed,none,2,3,32,3,rented flat,1,3,1,yes,yes
good,2,27,existing paid,retraining,2528,1,2,4,male: single,none,1,2,32,3,rented flat,1,3,2,no,yes
good,2,12,existing paid,retraining,1037,2,4,3,male: married / widowed,none,4,1,39,3,rented flat,1,2,1,yes,yes
good,1,6,existing paid,new car,1352,3,1,1,male: single,none,2,2,23,3,free apartment,1,1,1,no,yes
good,4,24,existing paid,items of furniture,3181,1,2,4,male: single,none,4,2,26,3,rented flat,1,3,1,no,yes
good,4,18,existing paid,items of furniture,4594,1,2,3,male: married / widowed,none,2,3,32,3,rented flat,1,3,1,no,yes
good,2,48,existing paid,business,5381,5,1,3,male: married / widowed,none,4,4,40,1,owner-occupied flat,1,1,1,no,yes
good,4,15,existing paid,new car,4657,1,3,3,male: married / widowed,none,2,3,30,3,rented flat,1,3,1,no,yes
good,2,9,existing paid,retraining,1391,1,3,2,female:,none,1,1,27,1,rented flat,1,3,1,no,yes
good,2,18,existing paid,retraining,1913,4,2,3,female:,none,3,1,36,1,rented flat,1,3,1,no,yes
good,4,42,existing paid,items of furniture,7166,5,4,2,female:,none,4,2,29,3,free apartment,1,3,1,no,yes
good,4,13,existing paid,items of furniture,1409,2,1,2,male: single,none,4,1,64,3,rented flat,1,3,1,yes,yes
good,4,24,delayed previously,retraining,2978,5,3,4,male: married / widowed,none,4,1,32,3,rented flat,2,3,2,no,yes
good,4,12,critical/other existing credit,items of furniture,976,5,5,4,male: married / widowed,none,4,3,35,3,rented flat,2,3,1,yes,yes
good,4,24,delayed previously,retraining,2375,3,3,4,male: married / widowed,none,2,3,44,3,rented flat,2,3,2,no,yes
good,4,12,critical/other existing credit,items of furniture,522,3,5,4,male: married / widowed,none,4,2,42,3,rented flat,2,3,2,no,yes
good,4,28,critical/other existing credit,items of furniture,2743,1,5,4,male: married / widowed,none,2,3,29,3,rented flat,2,3,1,yes,yes
good,4,11,critical/other existing credit,items of furniture,1154,2,1,4,male: single,none,4,1,57,3,rented flat,3,2,1,yes,yes
good,4,24,critical/other existing credit,new car,5804,4,3,4,male: married / widowed,none,2,1,27,3,rented flat,2,3,1,yes,yes
good,4,18,critical/other existing credit,items of furniture,1169,5,3,4,male: married / widowed,none,3,2,29,3,rented flat,2,3,1,no,yes
good,1,15,critical/other existing credit,used car,1478,1,5,4,male: married / widowed,none,4,3,44,3,rented flat,2,3,2,no,yes
good,4,12,existing paid,items of furniture,776,1,3,4,female:,none,2,1,28,3,rented flat,1,3,1,yes,yes
good,2,11,critical/other existing credit,other,1322,4,3,4,male: single,none,4,3,40,3,rented flat,2,3,1,yes,yes
good,2,16,critical/other existing credit,other,1175,1,1,2,male: married / widowed,none,3,3,68,3,owner-occupied flat,3,1,1,no,yes
good,4,12,existing paid,other,2133,5,5,4,male: single,none,4,4,52,3,owner-occupied flat,1,4,1,no,yes
good,4,15,critical/other existing credit,items of furniture,1829,1,5,4,male: married / widowed,none,4,3,46,3,rented flat,2,3,1,no,yes
good,4,12,critical/other existing credit,items of furniture,717,1,5,4,male: married / widowed,none,4,1,52,3,rented flat,3,3,1,yes,yes
good,2,39,delayed previously,repair,11760,2,4,2,male: married / widowed,none,3,4,32,3,free apartment,1,3,1,no,yes
bad,2,9,critical/other existing credit,repair,1501,1,5,2,male: single,none,3,3,34,3,rented flat,2,4,1,no,yes
good,1,12,existing paid,repair,1200,5,3,4,male: single,none,4,2,23,1,free apartment,1,3,1,no,yes
good,2,9,existing paid,other,3195,5,3,1,male: single,none,2,1,33,3,rented flat,1,2,1,yes,yes
good,4,30,critical/other existing credit,items of furniture,4530,1,4,4,male: single,none,4,3,26,3,free apartment,1,4,1,no,yes
bad,4,12,delayed previously,household appliances,1555,4,5,4,male: married / widowed,none,4,4,55,3,owner-occupied flat,2,3,2,yes,yes
good,2,15,critical/other existing credit,retraining,2326,3,3,2,male: married / widowed,none,4,3,27,1,rented flat,1,3,1,yes,yes
good,2,18,critical/other existing credit,retraining,1887,5,3,4,female:,none,4,1,28,1,rented flat,2,3,1,yes,yes
good,4,12,critical/other existing credit,retraining,1264,5,5,4,male: married / widowed,none,4,4,57,3,free apartment,1,2,1,yes,yes
good,4,7,delayed previously,items of furniture,846,5,5,3,male: married / widowed,none,4,4,36,3,owner-occupied flat,1,3,1,yes,yes
good,4,15,critical/other existing credit,repair,1532,2,3,4,male: single,none,3,3,31,3,rented flat,1,3,1,yes,yes
good,4,6,delayed previously,items of furniture,935,1,3,3,male: single,none,2,1,24,3,rented flat,1,3,1,yes,yes
good,1,27,critical/other existing credit,retraining,2442,1,5,4,male: married / widowed,none,4,3,43,2,rented flat,4,4,2,no,yes
good,2,18,critical/other existing credit,retraining,3590,1,1,3,female:,none,3,3,40,3,rented flat,3,1,2,no,yes
good,4,21,critical/other existing credit,used car,2288,1,2,4,male: single,none,4,2,23,3,rented flat,1,3,1,no,yes
good,4,27,delayed previously,retraining,5117,1,4,3,male: married / widowed,none,4,3,26,3,rented flat,2,3,1,yes,yes
good,1,39,critical/other existing credit,used car,14179,5,4,4,male: married / widowed,none,4,2,30,3,rented flat,2,4,1,no,yes
good,4,15,existing paid,items of furniture,1386,5,3,4,female:,none,2,1,40,3,free apartment,1,3,1,no,yes
good,4,12,critical/other existing credit,items of furniture,618,1,5,4,male: married / widowed,none,4,1,56,3,rented flat,1,3,1,yes,yes
good,4,12,existing paid,used car,1574,1,3,4,male: married / widowed,none,2,1,50,3,rented flat,1,3,1,yes,yes
good,4,6,critical/other existing credit,items of furniture,700,5,5,4,male: married / widowed,none,4,4,36,3,owner-occupied flat,2,3,1,yes,yes
good,4,12,existing paid,items of furniture,886,5,3,4,male: single,none,2,3,21,3,rented flat,1,3,1,yes,yes
good,4,36,existing paid,new car,4686,1,3,2,male: married / widowed,none,2,4,32,3,owner-occupied flat,1,4,1,no,yes
good,2,9,existing paid,items of furniture,790,3,3,4,male: single,none,3,1,66,3,rented flat,1,2,1,yes,yes
bad,2,12,existing paid,items of furniture,766,3,3,4,male: married / widowed,none,3,1,66,3,rented flat,1,2,1,yes,yes
good,1,20,existing paid,used car,2212,5,4,4,male: married / widowed,none,4,3,39,3,rented flat,1,3,1,no,yes
good,2,10,existing paid,other,7308,1,1,2,male: married / widowed,none,4,4,70,1,owner-occupied flat,1,4,1,no,yes
good,2,24,critical/other existing credit,repair,5743,1,2,2,male: single,none,4,4,24,3,owner-occupied flat,2,3,1,no,yes
good,1,14,existing paid,other,3973,1,1,1,male: married / widowed,none,4,4,22,3,owner-occupied flat,1,3,1,yes,yes
good,2,60,delayed previously,items of furniture,7418,5,3,1,male: married / widowed,none,1,1,27,3,rented flat,1,2,1,yes,yes
good,2,20,delayed previously,business,2629,1,3,2,male: married / widowed,none,3,3,29,1,rented flat,2,3,1,no,yes
good,2,18,existing paid,retraining,1941,4,3,4,male: married / widowed,none,2,2,35,3,rented flat,1,2,1,no,yes
good,2,24,delayed previously,used car,2333,5,2,4,male: married / widowed,none,2,2,29,1,rented flat,1,2,1,yes,yes
good,4,12,existing paid,new car,2445,5,2,2,female:,none,4,3,26,3,free apartment,1,3,1,no,yes
good,2,20,existing paid,new car,6468,5,1,1,male: divorced / living apart,none,4,1,60,3,rented flat,1,4,1,no,yes
good,2,18,critical/other existing credit,used car,7374,1,1,4,male: married / widowed,none,4,2,40,2,rented flat,2,4,1,no,yes
good,4,15,existing paid,new car,3812,2,2,1,male: single,none,4,3,23,3,rented flat,1,3,1,no,yes
bad,1,28,existing paid,other,4006,1,3,3,male: married / widowed,none,2,3,45,3,rented flat,1,2,1,yes,yes
good,2,12,existing paid,other,7472,5,1,1,male: single,none,2,1,24,3,free apartment,1,1,1,yes,yes
good,3,12,existing paid,used car,1424,5,5,3,male: single,none,4,1,55,3,rented flat,1,4,1,no,yes
good,2,12,existing paid,new car,2028,5,3,4,male: married / widowed,none,2,3,30,3,rented flat,1,3,1,yes,yes
