Creditability,Account_Balance,Duration_of_Credit,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,Guarantors,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
good,6860,36,existing paid,radio/tv,3913,65,1,25,male single,none,2,real estate,23,none,own,1,skilled,1,yes,yes
good,-1,24,existing paid,furniture/equipment,3021,57,3,32,male div/sep,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes
good,no checking,10,existing paid,new car,1364,43,3,28,female div/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes
good,48,12,existing paid,radio/tv,625,30,0,11,male mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes
good,-1,12,existing paid,education,1200,no known savings,1,13,female div/dep/mar,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes
good,no checking,12,existing paid,radio/tv,707,68,3,15,male single,none,2,real estate,30,bank,own,2,skilled,1,none,yes
good,no checking,24,delayed previously,business,2978,no known savings,2,13,male single,none,4,real estate,32,none,own,2,skilled,2,yes,yes
good,no checking,15,existing paid,used car,4657,9,3,21,male single,none,2,car,30,none,own,1,skilled,1,yes,yes
good,no checking,36,no credits/all paid,repairs,2613,83,3,46,male single,none,2,car,27,none,own,2,skilled,1,none,yes
bad,114,48,existing paid,radio/tv,10961,2784,4,58,male single,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,yes
bad,-1,12,existing paid,furniture/equipment,7865,9,18,6,male single,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes
bad,no checking,9,existing paid,radio/tv,1478,97,4,9,male single,none,2,car,22,none,own,1,skilled,1,none,yes
good,-1,24,existing paid,furniture/equipment,3149,93,0,13,male single,none,1,no known property,22,bank,for free,1,skilled,1,none,yes
bad,7583,36,existing paid,radio/tv,4210,15,1,6,male single,none,2,car,26,none,own,1,skilled,1,none,yes
good,no checking,9,existing paid,new car,2507,864,19,28,male single,none,4,no known property,51,none,for free,1,unskilled resident,1,none,yes
good,no checking,12,existing paid,radio/tv,2141,180,6,20,male single,none,1,no known property,35,none,own,1,skilled,1,none,yes
good,105,18,existing paid,radio/tv,866,71,3,63,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes
good,no checking,4,critical/other existing credit,radio/tv,1544,33,5,25,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes
bad,-1,24,existing paid,radio/tv,1823,95,unemployed,19,male single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,none,yes
bad,113,6,existing paid,new car,14555,no known savings,unemployed,36,male single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,yes
bad,76,21,existing paid,business,2767,144,19,14,male div/sep,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes
good,no checking,12,critical/other existing credit,radio/tv,1291,8,2,23,female div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,none,yes
good,-1,30,existing paid,radio/tv,2522,27,15,38,male single,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes
bad,-1,24,existing paid,new car,915,no known savings,9,9,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes
good,no checking,6,existing paid,radio/tv,1595,16,6,22,male single,none,2,life insurance,51,none,own,1,skilled,2,none,yes
bad,-1,48,no credits/all paid,used car,4605,75,17,23,male single,none,4,no known property,24,none,for free,2,skilled,2,none,yes
good,no checking,12,critical/other existing credit,business,1185,22,1,24,female div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,none,yes
good,no checking,12,all paid,retraining,3447,760,3,9,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes
good,no checking,24,existing paid,business,1258,8,4,18,male single,none,1,real estate,25,none,own,1,skilled,1,yes,yes
good,no checking,12,critical/other existing credit,radio/tv,717,64,15,28,male single,none,4,real estate,52,none,own,3,skilled,1,none,yes
good,no checking,6,no credits/all paid,new car,1204,190,2,42,male single,none,1,no known property,35,bank,rent,1,skilled,1,none,no
good,1691,24,existing paid,furniture/equipment,1925,26,3,32,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes
bad,no checking,18,existing paid,radio/tv,433,10,unemployed,21,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes
good,-1,6,critical/other existing credit,new car,666,2283,6,24,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes
good,567,12,existing paid,furniture/equipment,2251,65,3,62,female div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,none,yes
bad,3,30,existing paid,new car,2150,8,3,10,female div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes
good,no checking,24,delayed previously,furniture/equipment,4151,365,2,31,male single,none,3,life insurance,35,none,own,2,skilled,1,none,yes
good,28,9,existing paid,furniture/equipment,2030,no known savings,4,26,male single,none,1,car,24,none,own,1,skilled,1,yes,yes
good,71,60,delayed previously,radio/tv,7418,no known savings,3,59,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes
good,no checking,24,critical/other existing credit,radio/tv,2684,33,2,11,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes
bad,-1,12,all paid,radio/tv,2149,50,2,16,male div/sep,none,1,no known property,29,none,for free,1,skilled,1,none,yes
good,no checking,15,existing paid,used car,3812,226,0,37,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes
good,no checking,11,critical/other existing credit,radio/tv,1154,292,unemployed,14,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes
good,-1,12,existing paid,furniture/equipment,1657,36,2,25,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes
good,-1,24,existing paid,radio/tv,1603,26,14,16,female div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes
good,-1,18,critical/other existing credit,new car,5302,21,10,25,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes
good,no checking,12,critical/other existing credit,education,2748,8,10,27,female div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,yes
good,no checking,10,critical/other existing credit,new car,1231,63,17,23,male single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no
bad,17,15,existing paid,radio/tv,802,91,7,6,male single,none,3,car,37,none,own,1,skilled,2,none,yes
good,no checking,36,critical/other existing credit,business,6304,no known savings,13,6,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes
good,no checking,24,existing paid,radio/tv,1533,16,0,31,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes
bad,-1,14,existing paid,new car,8978,16,19,68,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no
good,no checking,24,existing paid,radio/tv,999,no known savings,11,16,male single,none,2,car,25,none,own,2,skilled,1,none,yes
good,no checking,18,existing paid,new car,2662,no known savings,4,54,male single,none,3,life insurance,32,none,own,1,skilled,1,none,no
good,no checking,12,critical/other existing credit,furniture/equipment,1402,696,5,20,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes
good,3,48,all paid,new car,12169,no known savings,unemployed,20,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes
bad,69,48,existing paid,radio/tv,3060,50,6,11,male single,none,4,real estate,28,none,own,2,skilled,1,none,yes
bad,-1,30,existing paid,repairs,11998,4,0,53,male div/sep,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes
good,no checking,9,existing paid,radio/tv,2697,81,1,46,male single,none,2,real estate,32,none,own,1,skilled,2,none,yes
good,no checking,18,critical/other existing credit,radio/tv,2404,61,2,29,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes
good,-1,12,existing paid,furniture/equipment,1262,no known savings,9,33,male div/sep,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes
bad,no checking,6,existing paid,furniture/equipment,4611,83,0,51,female div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,none,yes
good,no checking,24,existing paid,radio/tv,1901,435,2,17,male single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,15,critical/other existing credit,used car,3368,3912,12,21,male single,none,4,no known property,23,none,rent,2,skilled,1,yes,yes
good,no checking,12,existing paid,furniture/equipment,1574,91,3,6,male single,none,2,real estate,50,none,own,1,skilled,1,none,yes
good,6864,18,all paid,radio/tv,1445,no known savings,6,9,male single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes
good,no checking,15,critical/other existing credit,furniture/equipment,1520,no known savings,17,16,male single,none,4,life insurance,63,none,own,1,skilled,1,none,yes
good,76,24,critical/other existing credit,new car,3878,341,0,22,male div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes
good,-1,47,existing paid,new car,10722,78,0,65,female div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes
good,-1,48,existing paid,used car,4788,0,6,17,male single,none,3,life insurance,26,none,own,1,skilled,2,none,yes
good,129,48,delayed previously,other,7582,442,unemployed,28,male single,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes
good,68,12,existing paid,radio/tv,1092,58,1,18,female div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes
bad,-1,24,delayed previously,radio/tv,1024,89,0,19,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,yes
good,no checking,12,existing paid,business,1076,78,2,29,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no
bad,13,36,existing paid,used car,9398,26,0,37,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes
good,-1,24,critical/other existing credit,used car,6419,48,8,31,female div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes
good,8132,42,critical/other existing credit,used car,4796,4,16,6,male single,none,4,no known property,56,none,for free,1,skilled,1,none,yes
good,no checking,48,critical/other existing credit,business,7629,no known savings,15,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes
bad,7,48,existing paid,furniture/equipment,9960,42,0,67,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes
good,no checking,12,existing paid,used car,4675,no known savings,0,54,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes
good,no checking,10,existing paid,new car,1287,no known savings,13,31,male single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no
good,no checking,18,existing paid,furniture/equipment,2515,47,2,22,male single,none,4,real estate,43,none,own,1,skilled,1,yes,yes
good,176,21,critical/other existing credit,furniture/equipment,2745,4547,4,20,male single,none,2,car,32,none,own,2,skilled,1,yes,yes
good,no checking,6,existing paid,new car,672,83,unemployed,69,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes
bad,6,36,no credits/all paid,radio/tv,3804,91,3,5,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes
bad,7922,24,critical/other existing credit,new car,1344,no known savings,6,11,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes
good,-1,10,critical/other existing credit,new car,1038,20,5,14,male single,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes
bad,no checking,48,critical/other existing credit,new car,10127,933,2,27,male single,none,2,no known property,44,bank,for free,1,skilled,1,none,yes
good,no checking,6,existing paid,furniture/equipment,1543,3998,3,15,male div/sep,none,2,real estate,33,none,own,1,skilled,1,none,yes
good,no checking,30,existing paid,used car,4811,no known savings,6,26,female div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes
bad,-1,12,existing paid,radio/tv,727,210,0,6,male mar/wid,none,3,no known property,33,none,own,1,unskilled resident,1,yes,yes
bad,194,8,existing paid,furniture/equipment,1237,77,1,20,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,yes
good,42,9,existing paid,new car,276,51,2,9,male mar/wid,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes
good,11,48,existing paid,other,5381,no known savings,unemployed,20,male single,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,yes
good,no checking,24,existing paid,furniture/equipment,5511,490,2,18,male single,none,1,car,25,stores,own,1,skilled,1,none,yes
good,7433,24,existing paid,furniture/equipment,3749,40,0,30,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes
bad,102,12,existing paid,new car,685,17,5,27,male mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,none,yes
good,7284,4,existing paid,new car,1494,no known savings,0,63,male single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no
bad,-1,36,all paid,furniture/equipment,2746,68,16,18,male single,none,4,car,31,bank,own,1,skilled,1,none,yes
good,-1,12,existing paid,furniture/equipment,708,44,1,26,male single,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes
good,156,24,existing paid,furniture/equipment,4351,no known savings,1,38,female div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes
good,no checking,12,critical/other existing credit,education,701,76,1,4,male single,none,2,car,32,none,own,2,skilled,1,none,yes
good,-1,15,delayed previously,furniture/equipment,3643,59,8,35,female div/dep/mar,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes
bad,58,30,critical/other existing credit,new car,4249,79,unemployed,19,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes
bad,-1,24,existing paid,radio/tv,1938,77,0,5,male div/sep,none,3,life insurance,32,none,own,1,skilled,1,none,yes
good,-1,24,existing paid,used car,2910,84,5,31,male single,none,1,no known property,34,none,for free,1,high qualif/self emp/mgmt,1,yes,yes
good,-1,18,existing paid,furniture/equipment,2659,2269,1,8,male single,none,2,car,28,none,own,1,skilled,1,none,yes
good,no checking,18,critical/other existing credit,new car,1028,29,3,4,female div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,none,yes
good,-1,8,critical/other existing credit,new car,3398,79,6,68,male single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no
good,no checking,12,critical/other existing credit,furniture/equipment,5801,no known savings,10,28,male single,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes
good,no checking,24,existing paid,new car,1525,2331,6,11,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes
good,7605,36,existing paid,radio/tv,4473,80,10,27,male single,none,2,car,31,none,own,1,skilled,1,none,yes
good,1,6,existing paid,radio/tv,1068,58,18,12,male single,none,4,car,28,none,own,1,skilled,2,none,yes
good,-1,24,critical/other existing credit,used car,6615,47,unemployed,33,male single,none,4,no known property,75,none,for free,2,high qualif/self emp/mgmt,1,yes,yes
bad,no checking,18,critical/other existing credit,education,1864,483,3,10,female div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,none,yes
bad,157,60,existing paid,new car,7408,448,0,10,female div/dep/mar,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,none,yes
bad,no checking,48,critical/other existing credit,used car,11590,110,2,29,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes
bad,-1,24,no credits/all paid,furniture/equipment,4110,97,11,24,male single,none,4,no known property,23,bank,rent,2,skilled,2,none,yes
bad,-1,6,critical/other existing credit,furniture/equipment,3384,74,2,39,male div/sep,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,yes,yes
good,187,13,existing paid,radio/tv,2101,30,0,34,female div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes
bad,-1,15,existing paid,domestic appliance,1275,no known savings,2,11,female div/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes
good,-1,24,existing paid,furniture/equipment,4169,28,2,6,male single,none,4,life insurance,28,none,own,1,skilled,1,none,yes
good,183,10,existing paid,furniture/equipment,1521,42,3,15,male div/sep,none,2,car,31,none,own,1,unskilled resident,1,none,yes
good,37,24,critical/other existing credit,education,5743,63,0,34,female div/dep/mar,none,4,no known property,24,none,for free,2,skilled,1,yes,yes
good,-1,21,existing paid,furniture/equipment,3599,26,6,36,female div/dep/mar,none,4,car,26,none,rent,1,unskilled resident,1,none,yes
good,63,18,existing paid,radio/tv,3213,719,0,47,male mar/wid,none,3,real estate,25,none,rent,1,skilled,1,none,yes
good,135,18,existing paid,business,4439,93,8,68,male single,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes
good,5648,10,existing paid,new car,3949,67,0,53,male single,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes
good,no checking,15,critical/other existing credit,radio/tv,1459,94,3,15,female div/dep/mar,none,2,car,43,none,own,1,unskilled resident,1,none,yes
good,82,13,critical/other existing credit,radio/tv,882,67,0,14,male single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes
good,38,24,existing paid,radio/tv,3758,525,unemployed,52,female div/dep/mar,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes
good,no checking,6,delayed previously,business,1743,374,2,64,male single,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes
bad,124,9,critical/other existing credit,education,1136,2483,7,11,male single,none,3,no known property,32,none,for free,2,skilled,2,none,yes
good,no checking,9,existing paid,domestic appliance,1236,12,0,66,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,yes,yes
bad,138,9,existing paid,furniture/equipment,959,32,1,38,female div/dep/mar,none,2,car,29,none,own,1,skilled,1,none,no
good,no checking,18,critical/other existing credit,used car,3229,no known savings,unemployed,30,male single,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes
bad,-1,12,no credits/all paid,radio/tv,6199,6,3,5,male single,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes
good,no checking,10,existing paid,education,727,924,7,4,male single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes
bad,114,24,existing paid,new car,1246,6,0,25,male single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes
good,no checking,12,critical/other existing credit,radio/tv,2331,no known savings,16,37,male single,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes
bad,no checking,36,delayed previously,radio/tv,4463,9,2,22,male single,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes
good,no checking,12,existing paid,radio/tv,776,14,3,7,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,none,yes
bad,-1,30,existing paid,furniture/equipment,2406,20,5,9,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,none,yes
good,33,18,existing paid,education,1239,no known savings,3,13,male single,none,4,no known property,61,none,for free,1,skilled,1,none,yes
good,1651,12,existing paid,radio/tv,3399,no known savings,17,28,male single,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,none,yes
good,7972,12,delayed previously,new car,2247,74,2,32,female div/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes
good,no checking,6,existing paid,furniture/equipment,1766,6,1,38,male mar/wid,none,2,life insurance,21,none,rent,1,skilled,1,none,yes
bad,-1,18,existing paid,furniture/equipment,2473,81,unemployed,17,male single,none,1,car,25,none,own,1,unemp/unskilled non res,1,none,yes
good,no checking,12,existing paid,business,1542,59,6,26,male single,none,4,car,36,none,own,1,skilled,1,yes,yes
good,no checking,18,critical/other existing credit,used car,3850,34,6,21,male single,none,1,car,27,none,own,2,skilled,1,none,yes
good,-1,18,existing paid,furniture/equipment,3650,12,0,65,female div/dep/mar,none,4,car,22,none,rent,1,skilled,1,none,yes
bad,-1,36,existing paid,furniture/equipment,3446,40,9,14,male single,none,2,car,42,none,own,1,skilled,2,none,yes
good,156,18,existing paid,furniture/equipment,3001,82,4,30,female div/dep/mar,none,4,real estate,40,none,rent,1,skilled,1,none,yes
good,no checking,36,existing paid,new car,3079,no known savings,2,7,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes
good,no checking,18,critical/other existing credit,radio/tv,6070,47,7,24,male single,none,4,car,33,none,own,2,skilled,1,yes,yes
good,no checking,10,critical/other existing credit,furniture/equipment,2146,54,0,58,female div/dep/mar,none,3,real estate,23,none,rent,2,skilled,1,none,yes
good,no checking,60,critical/other existing credit,new car,13756,no known savings,18,25,male single,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes
bad,105,60,all paid,other,14782,120,7,24,female div/dep/mar,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes
bad,-1,48,all paid,business,7685,74,5,29,female div/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,none,yes
good,no checking,18,delayed previously,radio/tv,2320,75,unemployed,29,male mar/wid,none,3,real estate,34,none,own,2,skilled,1,none,yes
good,no checking,7,delayed previously,radio/tv,846,no known savings,11,21,male single,none,4,no known property,36,none,for free,1,skilled,1,none,yes
bad,51,36,existing paid,new car,14318,74,16,18,male single,none,2,no known property,57,none,for free,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,6,critical/other existing credit,new car,362,449,2,43,female div/dep/mar,none,4,car,52,none,own,2,unskilled resident,1,none,yes
good,-1,20,existing paid,furniture/equipment,2212,no known savings,5,8,male single,none,4,car,39,none,own,1,skilled,1,yes,yes
bad,39,18,existing paid,used car,12976,28,unemployed,21,female div/dep/mar,none,4,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,22,existing paid,new car,1283,no known savings,4,8,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,none,yes
good,663,12,existing paid,new car,1330,60,0,6,male single,none,1,real estate,26,none,own,1,skilled,1,none,yes
good,no checking,30,delayed previously,business,4272,460,2,30,male single,none,2,life insurance,26,none,own,2,unskilled resident,1,none,yes
good,no checking,18,critical/other existing credit,radio/tv,2238,33,3,28,female div/dep/mar,none,1,car,25,none,own,2,skilled,1,none,yes
good,no checking,18,existing paid,radio/tv,1126,no known savings,0,16,female div/dep/mar,none,2,real estate,21,none,rent,1,skilled,1,yes,yes
good,27,18,critical/other existing credit,furniture/equipment,7374,14,unemployed,6,male single,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,yes,yes
good,155,15,critical/other existing credit,business,2326,561,3,26,male single,none,4,car,27,bank,own,1,skilled,1,none,yes
good,no checking,9,existing paid,business,1449,85,4,23,female div/dep/mar,none,2,car,27,none,own,2,skilled,1,none,yes
good,no checking,18,existing paid,new car,1820,92,3,33,male mar/wid,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes
good,112,12,existing paid,furniture/equipment,983,1561,0,58,female div/dep/mar,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes
good,-1,36,existing paid,new car,3249,24,5,33,male single,none,4,no known property,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes
good,-1,6,critical/other existing credit,radio/tv,1957,32,4,44,female div/dep/mar,none,4,car,31,none,own,1,skilled,1,none,yes
good,no checking,9,critical/other existing credit,furniture/equipment,2406,77,unemployed,29,male single,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,none,yes
good,193,39,delayed previously,education,11760,474,5,25,male single,none,3,no known property,32,none,rent,1,skilled,1,yes,yes
good,-1,12,existing paid,furniture/equipment,2578,14,unemployed,23,female div/dep/mar,none,4,no known property,55,none,for free,1,high qualif/self emp/mgmt,1,none,yes
good,-1,36,critical/other existing credit,furniture/equipment,2348,58,1,22,male mar/wid,none,2,life insurance,46,none,own,2,skilled,1,yes,yes
bad,39,12,existing paid,new car,1223,83,18,59,male div/sep,none,1,real estate,46,none,rent,2,skilled,1,none,yes
good,no checking,24,critical/other existing credit,radio/tv,1516,1078,2,53,female div/dep/mar,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes
good,no checking,18,existing paid,radio/tv,1473,25,0,23,male mar/wid,none,4,real estate,39,none,own,1,skilled,1,yes,yes
good,13,18,critical/other existing credit,business,1887,no known savings,1,16,male mar/wid,none,4,real estate,28,bank,own,2,skilled,1,none,yes
bad,no checking,24,delayed previously,business,8648,18,0,27,male single,none,2,car,27,bank,own,2,skilled,1,yes,yes
good,no checking,14,delayed previously,new car,802,19,1,27,male single,none,2,car,27,none,own,2,unskilled resident,1,none,yes
good,10,18,delayed previously,new car,2899,no known savings,13,19,male single,none,4,car,43,none,own,1,skilled,2,none,yes
bad,20,24,existing paid,radio/tv,2039,4,0,44,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,yes,yes
good,no checking,24,critical/other existing credit,used car,2197,no known savings,5,5,male single,none,4,car,43,none,own,2,skilled,2,yes,yes
good,-1,15,existing paid,radio/tv,1053,10,0,7,male mar/wid,none,2,real estate,27,none,own,1,skilled,1,none,no
good,no checking,24,existing paid,radio/tv,3235,793,16,24,male div/sep,none,2,car,26,none,own,1,high qualif/self emp/mgmt,1,yes,yes
bad,1648,12,critical/other existing credit,new car,939,574,4,5,male mar/wid,none,2,real estate,28,none,own,3,skilled,1,yes,yes
good,24,24,existing paid,radio/tv,1967,12,13,10,female div/dep/mar,none,4,car,20,none,own,1,skilled,1,yes,yes
good,no checking,33,critical/other existing credit,used car,7253,15,4,21,male single,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes
bad,no checking,12,critical/other existing credit,business,2292,7,unemployed,4,male single,none,2,car,42,stores,own,2,high qualif/self emp/mgmt,1,yes,yes
good,no checking,10,existing paid,new car,1597,942,3,21,male single,none,2,no known property,40,none,rent,1,unskilled resident,2,none,no
bad,-1,24,existing paid,new car,1381,no known savings,3,12,female div/dep/mar,none,2,life insurance,35,none,own,1,skilled,1,none,yes
good,no checking,36,critical/other existing credit,used car,5842,42,18,34,male single,none,2,life insurance,35,none,own,2,skilled,2,yes,yes
bad,-1,12,existing paid,new car,2579,9,0,19,male single,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes
good,-1,18,delayed previously,education,8471,no known savings,2,54,female div/dep/mar,none,2,car,23,none,rent,2,skilled,1,yes,yes
good,no checking,21,existing paid,new car,2782,931,6,69,female div/dep/mar,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,none,yes
bad,112,18,existing paid,new car,1042,no known savings,3,5,female div/dep/mar,none,2,life insurance,33,none,own,1,skilled,1,none,yes
good,no checking,15,existing paid,new car,3186,5047,4,31,female div/dep/mar,none,3,car,20,none,rent,1,skilled,1,none,yes
good,192,12,existing paid,used car,2028,no known savings,1,12,male single,none,2,car,30,none,own,1,skilled,1,none,yes
good,11,12,critical/other existing credit,new car,958,44,4,27,male single,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes
good,no checking,21,delayed previously,furniture/equipment,1591,378,6,13,male single,none,3,real estate,34,none,own,2,high qualif/self emp/mgmt,1,none,yes
bad,11,12,existing paid,furniture/equipment,2762,no known savings,11,53,female div/dep/mar,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes
good,26,18,existing paid,used car,2779,20,2,50,male mar/wid,none,3,car,21,none,rent,1,skilled,1,yes,yes
good,no checking,28,critical/other existing credit,radio/tv,2743,25,20,54,male single,none,2,car,29,none,own,2,skilled,1,none,yes
good,no checking,18,critical/other existing credit,radio/tv,1149,3873,2,67,male single,none,3,real estate,46,none,own,2,skilled,1,none,yes
good,no checking,9,existing paid,furniture/equipment,1313,43,12,35,male single,none,4,car,20,none,own,1,skilled,1,none,yes
bad,-1,18,critical/other existing credit,repairs,1190,4,unemployed,31,female div/dep/mar,none,4,no known property,55,none,for free,3,unemp/unskilled non res,2,none,yes
good,no checking,5,existing paid,business,3448,59,4,53,male single,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes
bad,155,24,existing paid,other,11328,97,2,32,male single,co applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,yes,yes
good,-1,6,critical/other existing credit,furniture/equipment,1872,50,unemployed,14,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes
good,no checking,24,critical/other existing credit,repairs,2058,93,1,4,male div/sep,none,2,real estate,33,none,own,2,skilled,1,yes,yes
